
Kris "I'm Pretty Fast" Bryant,https://gfycat.com/DesertedWeakAmphiuma
Koji Uehara and Pedro Strop hug,https://gfycat.com/FeminineLightheartedCoral
[Russell] Tactical baseball roll,http://i.imgur.com/CsveyYf.gif
[Zobrist] Force choke after getting on base.,https://gfycat.com/BruisedDefenselessIndusriverdolphin
[Quintana] Hugs with Contreras and Bozio after his debut as a Cub.,https://giant.gfycat.com/EachQualifiedAssassinbug.gif
[Jay] ;),https://gfycat.com/FlamboyantBaggyIndianringneckparakeet
Mic Drop!,http://mlb.mlb.com/images/0/6/8/213626068/011617_schwaber_mic_drop_med_use_uma6tddp.gif
David Ross uses naughty words when excited,https://gfycat.com/WeightySomeDore
Rizz is OK with it,https://gfycat.com/ScornfulAlertAfricanparadiseflycatcher
[Schwarber] High five, coach!,http://i.imgur.com/zHfqOHt.gif
[Zobrist] [Bryzzo Co.] Fuck the cards.,https://gfycat.com/SlipperyZealousAnnelid
[Baez] [Rizzo] Stealing a catch,https://streamable.com/xlod
[Contreras] [Baez] Contreras throws rockets from behind the plate.,https://gfycat.com/AmpleShallowEquine
Rossy,http://gifs.gifme.io/i/901d85a4dc.gif
Definitely Not Joe,http://sports.cbsimg.net/images/visual/whatshot/BobbyValentineMustacheGlassesDisguise.jpg
Anthony Loves Hitting leadoff,https://streamable.com/tx09x
that's Fucking bullshit,https://gfycat.com/AdventurousAdeptKarakul
Addison Russell dances in the dugout,https://gfycat.com/ZigzagGoodnaturedHoverfly
Chapman's stare after striking out Lindor (xpost from r/baseball),https://i.gyazo.com/d0b9ef93baa466d8b2ac1c6ec5a55938.gif
Javier Baez drops and catches his gum, then points at camera,https://i.imgur.com/IIgN6fx.jpg
dugout bryzzo (had to hunt for it tonight, this should make it easier),https://gfycat.com/InexperiencedCelebratedBoar
Rizzo is stoked: "**** yeah!",https://gfycat.com/NippyPepperyDarwinsfox
Hammel Is So Amped Up,https://gfycat.com/AshamedSpottedAndeancat
Bryzzo Souvenir Company,https://gfycat.com/InsistentAmpleKronosaurus
Fuck the DH,http://i.imgur.com/deY3gwK.gif
Rizzo gets doinked and plays mad,https://gfycat.com/PessimisticDependableDeermouse
Happy Javy,https://gfycat.com/DistantSkinnyBluetonguelizard
Javy Baez poses with the professor,http://i.imgur.com/ucywVRq.gifv
Justin Grimm makes a cup spin around,http://i.imgur.com/4FSZYHP.gifv
Jason Hayward dodges one,http://i.imgur.com/d5isehP.gifv
Jorge Soler watches his own home run and approves,https://gfycat.com/LavishPessimisticBee
Joe Maddon champagne spraying (Binny's commercial),https://gfycat.com/FakeAmusingAfricanmolesnake#
Joe Maddon and Pat Hughes toast (Binny's commercial),https://gfycat.com/ThirstyFirsthandGentoopenguin
Hector Rondon does the 2016 version of "Woo"/"Phew",https://gfycat.com/LegalPartialHackee
Joe Maddon's elaborate high five,http://i.imgur.com/JrhQV31.gifv
Jorge Soler makes cup binoculars,http://i.imgur.com/VlcosNy.gifv
Bryant can't believe it,http://media.giphy.com/media/t30msqulGd3Ve/giphy.gif
Rizzo says "It's magic",http://mlb.mlb.com/images/6/9/2/134172692/070115_chc_rizzo_magic_med2_jitervdi.gif
David Ross is booping wieners,https://gfycat.com/AdvancedWillingAfricanclawedfrog
Joe Maddon says "Oh shit",http://i.imgur.com/ffxqxPW.gifv
David Ross is excited,http://i.imgur.com/S3U8FuS.gif
Cubs kayaker with W flags,https://gfycat.com/IncompatiblePastCleanerwrasse
Addison Russell whew,https://fat.gfycat.com/IllegalFatherlyCreature.mp4
Castro phew,http://i.imgur.com/6MWvwWI.gif
